street,location
"9340 Foxy Ct Patterson, CA 95363","(37.4045886, -121.2678003)"
"24707 County Road 41 La Salle, CO 80645","(40.359125, -104.6806919)"
"8302 Westown Parkway 3109 West Des Moines, IA 50266","(41.5872122, -93.8203494)"
"3710 S 17Th St Lincoln, NE 68502","(40.7762558, -96.6965833)"
"1052 Flat Creek Rd Gilboa, NY 12076","(42.439406, -74.3889219)"
"18701 Ne 3Rd Ct Apt 111 Miami, FL 33179","(25.947643, -80.192616)"
"3581 Pawnee Ramona, KS 67475","(38.5931617, -97.0781793)"
"201 Prospect Ave Buffalo, NY 14201","(42.8945272, -78.88366529999999)"
"5621 Cojimar Dr Mckinney, TX 75070","(33.1464837, -96.72947590000001)"
"262 Sunrise Ave Sayville, NY 11782","(40.751282, -73.07564479999999)"
"2073 Reserve Pkwy Mcdonough, GA 30253","(33.3930761, -84.1823952)"
"105 Stratford St E Fitzgerald, GA 31750","(31.6966314, -83.2731991)"
"4313 Vista Place Northeast Tacoma, WA 98422","(47.2959835, -122.3979585)"
"335 Adele Ave East Saint Louis, IL 62206","(38.5641764, -90.1994304)"
"1519 Creek Ct Williamsburg, VA 23185","(37.20763700000001, -76.606205)"
"308 Maple Dr Frankfort, OH 45628","(39.4083286, -83.1737976)"
"3988 Palmer Avenue York, PA 17408","(39.89812, -76.79199299999999)"
"116 Green Street Bridgeport, PA 19405","(40.10772499999999, -75.345059)"
"783 Summer Valley Road New Ringgold, PA 17960","(40.6606275, -76.0214884)"
"6808 Meadows West Drive S Fort Worth, TX 76132","(32.6764069, -97.43050919999999)"
"261 Locktown Sergeantsville Road Stockton, NJ 8559","(40.47725, -74.970918)"
"11321 Hunt Farm Ln Oakton, VA 22124","(38.8994078, -77.3435918)"
"2519 N Ocean Blvd Boca Raton, FL 33431","(26.3737279, -80.06872779999999)"
"125 Dixie Meadow Ln Carrollton, GA 30117","(33.5283925, -85.0785579)"
"2301 Washington St Manitowoc, WI 54220","(44.0888116, -87.67712519999999)"
"838 Damask Ct Santa Maria, CA 93458","(34.9279713, -120.4474974)"
"22259 Woodside Drive Bristol, IN 46507","(41.7167289, -85.89369049999999)"
"3305 W 85Th Pl Chicago, IL 60652","(41.7377546, -87.7047504)"
"120 Thunder Rd Sudbury, MA 1776","(42.4118821, -71.4232804)"
"116 Fountain Hills Blvd Wausau, WI 54403","(44.9546408, -89.57544089999999)"
"8061 Hampshire Cir La Palma, CA 90623","(33.8451728, -118.0493233)"
"2320 Deborah Lane Edmond, OK 73034","(35.660154, -97.4497109)"
"20 Coventry Lane Greenville, SC 29609","(34.8769848, -82.371569)"
"1616 North Western Avenue Chicago, IL 60647","(41.9108999, -87.6875773)"
"505 Finsbury Rd Silver Spring, MD 20904","(39.077291, -77.02006399999999)"
"6407 68Th Ave Glendale, NY 11385","(40.706001, -73.8942409)"
"2121 Nw Raleigh St Portland, OR 97210","(45.5342138, -122.6951131)"
"422 South Fremont Avenue Tucson, AZ 85719","(32.217239, -110.95562)"
"4225 E Miller Rd Marengo, IN 47140","(38.371219, -86.382008)"
"11430 Abbottswood Ct Upper Marlboro, MD 20774","(38.8906952, -76.8070619)"
"1922 Liberty St Columbia, SC 29203","(34.0314263, -81.0295084)"
"4708 Washboard Ln Lenoir, NC 28645","(35.9034587, -81.394089)"
"7419 Treasure Chest St Las Vegas, NV 89139","(36.0544624, -115.221035)"
"6912 Mill Falls Dr Dallas, TX 75248","(32.9693096, -96.7891808)"
"121 Olson Court Vallejo, CA 94589","(38.1505588, -122.2278744)"
"1406 Rock Creek Rd Gunnison, CO 81230","(38.5583181, -106.9242629)"
"1823 George Cir Irwin, PA 15642","(40.3034021, -79.7311381)"
"28 14Th Street Ne Washington, DC 20002","(38.8906498, -76.9857615)"
"7214 Condra Dr Harrison, TN 37341","(35.19232460000001, -85.0615193)"
"2023 Danbury Dr Indianapolis, IN 46231","(39.7371513, -86.3113092)"
"7650 S Euro Dr Apt C105 Midvale, UT 84047","(40.6119647, -111.9191579)"
"3573 Dan Patch Ct Fairfield Township, OH 45011","(39.37105390000001, -84.5015098)"
"17631 Calle Mazatan Morgan Hill, CA 95037","(37.1346339, -121.6507916)"
"2600 Park Meadows Dr D 206 Bakersfield, CA 93308","(35.4302252, -119.0359765)"
"102 Jubilee Cir Bonaire, GA 31005","(32.5588103, -83.6430103)"
"5310 Concerto Cir Concord, CA 94521","(37.9540227, -121.9584426)"
"424 Penguin Dr Satellite Beach, FL 32937","(28.2059734, -80.608559)"
"941 Frederick Street Yuba City, CA 95991","(39.1310788, -121.6267723)"
"4202 Terlingua Pasadena, TX 77504","(29.6470834, -95.17935949999999)"
"1605 Sunset Dr Monroe, LA 71202","(32.4907183, -92.0897157)"
"6845 Strawberry Ln Clarkston, MI 48348","(42.7697855, -83.4249561)"
"272 Jackson St Bristol, PA 19007","(40.1064376, -74.8455046)"
"953 N Galloway Rd Lakeland, FL 33810","(28.0544597, -82.0186068)"
"875 Woodcrest Loop Culpeper, VA 22701","(38.4704483, -78.0087034)"
"120 E Swan St Centerville, TN 37033","(35.7803776, -87.46211199999999)"
"2800 N. Flagler Drive West Palm Beach, FL 33407","(26.7376934, -80.04957639999999)"
"21700 Champaign Taylor, MI 48180","(42.249119, -83.24794519999999)"
"7635 Harris Rd Celina, OH 45822","(40.5717875, -84.4656254)"
"9824 Fm 607 N Brownsboro, TX 75756","(32.2809667, -95.63854529999999)"
"3113 N 3Rd St Ocean Springs, MS 39564","(30.40447919999999, -88.784138)"
"1109 Danbury Ct Pearland, TX 77581","(29.5898355, -95.27111699999999)"
"465 Black Mountain Rd Toccoa, GA 30577","(34.61671860000001, -83.3577758)"
"6 Orchard Circle Edgefield, SC 29824","(33.817011, -81.8701152)"
"6670 Evergreen Lane Paradise, CA 95969","(39.7788518, -121.6179253)"
"211 W Park St Canastota, NY 13032","(43.0818232, -75.75888429999999)"
"11438 S Throop St Chicago, IL 60643","(41.6855567, -87.6546642)"
"1037 S Madison Ave La Grange, IL 60525","(41.7945327, -87.86999329999999)"
"11225 War Cloud Ave El Paso, TX 79936","(31.7851074, -106.3051076)"
"130 Woodridge Dr Morehead City, NC 28557","(34.728856, -76.815935)"
"24925 Sw 127T Ct Homestead, FL 33032","(25.5351563, -80.3967337)"
"1902 Longmead Rd Silver Spring, MD 20906","(39.096787, -77.040753)"
"104 West St Minooka, IL 60447","(41.45584059999999, -88.2654895)"
"6692 West Hunter Crest Cir West Valley City, UT 84128","(40.7088079, -112.0507343)"
"3823 Indian Hill Rd Shrub Oak, NY 10588","(41.3356649, -73.8077422)"
"2823 11Th Avenue Oakland, CA 94610","(37.8004648, -122.2363844)"
"4320 Linthicum Road Dayton, MD 21036","(39.2520012, -76.99495230000001)"
"1063 Sunset Dr Woodbury, MN 55125","(44.9335039, -92.90844799999999)"
"20882 51St Drive Lake City, FL 32024","(30.0696375, -82.85001609999999)"
"10 King Arthur Dr Niantic, CT 6357","(41.359594, -72.205496)"
"134 Forest Dr Stuarts Draft, VA 24477","(38.000106, -79.031914)"
"7461 Finchley Rd New Orleans, LA 70128","(30.0477197, -89.96977129999999)"
"1023 Arlington St Ada, OK 74820","(34.7811768, -96.6622668)"
"10351 Fasano Drive Lakeside, CA 92040","(32.8657851, -116.9591414)"
"500 Hedgewood Terrace Greer, SC 29650","(34.8685045, -82.30103059999999)"
"1263 Dallas Dr Denton, TX 76205","(33.198945, -97.12084700000001)"
"737 Sand Willow Drive Chesapeake, VA 23320","(36.7425198, -76.23362019999999)"
"207 Flounder Way Kissimmee, FL 34759","(28.0716659, -81.4988381)"
"301 W Broad St Falls Church, VA 22046","(38.88337360000001, -77.17358949999999)"
"2486 Battaglia Circle San Jose, CA 95132","(37.388423, -121.863599)"
"1712 Q St Nw Washington, DC 20009","(38.910866, -77.039287)"
"4710 Tobermory Way Bradenton, FL 34211","(27.4558526, -82.4429885)"
"1026 Rancho Road Arcadia, CA 91006","(34.1497633, -118.0385063)"
"1017 East Dome Street Avenal, CA 93204","(36.0065833, -120.1212227)"
"2410 Frederick Douglass Blvd New York, NY 10027","(40.8128312, -73.9487225)"
"6091 Golddust Rd Spring Hill, FL 34609","(28.516724, -82.496752)"
"4981 Southwest 153Rd Avenue Davie, FL 33331","(26.0588274, -80.3511394)"
"705 East Bidwell Street Folsom, CA 95630","(38.6708927, -121.1607924)"
"16730 Sw 192Nd Ave Sherwood, OR 97140","(45.397374, -122.865903)"
"7405 Venice Drive Corpus Christi, TX 78413","(27.6778805, -97.4122603)"
"126 Joles Dr Tonganoxie, KS 66086","(39.11337, -95.064213)"
"1331 Brickell Bay Drive Miami, FL 33131","(25.7599996, -80.1891629)"
"8 Deer Haven Cove Little Rock, AR 72209","(34.6434594, -92.3609938)"
"4083 N Peach Ave Fresno, CA 93727","(36.790997, -119.720847)"
"1334 Noe St San Francisco, CA 94131","(37.7476536, -122.4316945)"
"17151 Nw 87Th Ct Hialeah, FL 33018","(25.9295629, -80.3423072)"
"44 Barstow St Salem, MA 1970","(42.526144, -70.9048246)"
"6801 Nw 135Th Ter Oklahoma City, OK 73142","(35.6059975, -97.63453249999999)"
"5205 Graford Pl Corpus Christi, TX 78413","(27.6731429, -97.40030829999999)"
"108 Mackie Ln Harrison, OH 45030","(39.2490875, -84.7949051)"
"1035 County Route 164 Callicoon, NY 12723","(42.9109509, -74.3044336)"
"9 Cemetery Road Sandyston, NJ 7827","(41.2579767, -74.7952395)"
"1840 Sweet Gum Dr Anna, TX 75409","(33.3344364, -96.5777296)"
"396 Lenox Ln Brighton, MI 48114","(42.5926745, -83.7200804)"
"1777 Norton Road Hudson, OH 44236","(41.2033255, -81.431294)"
"2715 Kenton Hills Court Houston, TX 77089","(29.5823471, -95.2537737)"
"1813 Live Oak St Port Neches, TX 77651","(29.9870632, -93.9623968)"
"420 Larchbrook Dr Garland, TX 75043","(32.8496227, -96.6192039)"
"209 Marna Drive Vacaville, CA 95687","(38.3322148, -121.9621307)"
"10305 Chapel Hill Blvd Pasco, WA 99301","(46.2724323, -119.2258173)"
"11252 Naomi Drive Parma, OH 44130","(41.40871990000001, -81.7651367)"
"901 West Veterans Memorial Boulevard Killeen, TX 76541","(31.1202756, -97.7398454)"
"4003 Pelone Dr Verona, PA 15147","(40.4880575, -79.834885)"
"3514 East Roundtree Drive Cocoa, FL 32926","(28.4097822, -80.75186219999999)"
"633 Sw 175Th St Seattle, WA 98166","(47.44419660000001, -122.3432342)"
"11 Poe Rd Brick, NJ 8724","(40.093264, -74.142949)"
"301 Modene St Trlr 66 Seagoville, TX 75159","(32.667068, -96.572149)"
"9 Metropolitan Oval Bronx, NY 10462","(40.839035, -73.85960779999999)"
"769 Howard Ave Bridgeport, CT 6605","(41.1717976, -73.2105109)"
"3162 Likens Road Marion, OH 43302","(40.631153, -83.044585)"
"150 Shady Lane Spc404 Kalispell, MT 59901","(48.2111561, -114.2676383)"
"4500 Sleepy Hammock Dr Milton, FL 32583","(30.59919919999999, -86.9750591)"
"1132 West Monroe St Springfield, IL 62704","(39.7994328, -89.6720982)"
"4099 Philwood Ave Memphis, TN 38122","(35.1445052, -89.9243652)"
"758 Southland Pass Stone Mountain, GA 30087","(33.7737242, -84.1277024)"
"2053 Oak Meadows Circle Daytona Beach, FL 32119","(29.165431, -81.017707)"
"4432 Cancille St New Port Richey, FL 34652","(28.2237838, -82.7194559)"
"4521 Hillside Dr. Copley, OH 44321","(41.1320682, -81.672954)"
"10 Taconic Ln South Egremont, MA 1258","(42.1678784, -73.4464902)"
"3732 Springvale Street Southeast Roanoke, VA 24014","(37.2282018, -79.9346473)"
"96 Wildewood Run Bristol, CT 6010","(41.7013326, -72.9325623)"
"7 Van Buren St Albany, NY 12206","(42.6754179, -73.7934958)"
"1617 Fannin St Houston, TX 77002","(29.751504, -95.367712)"
"4822 San Ortebello Dr Bradenton, FL 34208","(27.5092746, -82.5011411)"
"2545 East Avenue I Lancaster, CA 93535","(34.7079691, -118.0843531)"
"12795 Rd. 114 Paulding, OH 45879","(41.113397, -84.606419)"
"175 Bangor Ave San Jose, CA 95123","(37.24842, -121.810755)"
"6420 Mansfield Dr Greendale, WI 53129","(42.949929, -87.9943845)"
"807 Dodge Ave Evanston, IL 60202","(42.0323276, -87.69898769999999)"
"7302 Soundview Dr Gig Harbor, WA 98335","(47.324462, -122.5793169)"
"6312 Cape Cod Ave Bakersfield, CA 93313","(35.2707251, -119.0728503)"
"3049 Gamay Ave Madera, CA 93637","(36.949088, -120.0996447)"
"5112 Southwick Ct San Jose, CA 95136","(37.2593031, -121.8528141)"
"5852 Sw 33Rd St Miami, FL 33155","(25.739515, -80.2903035)"
"230 Trace Harbor Rd Madison, MS 39110","(32.4720555, -90.0525283)"
"132B Thouroughbred Ave La Place, LA 70068","(30.0193209, -90.4640895)"
"445 E Fallingbranch Drive Meridian, ID 83642","(43.5780194, -116.3879061)"
"38 Yale Ave Swarthmore, PA 19081","(39.9012442, -75.33919089999999)"
"1458 Ne 30Th Street Pompano Beach, FL 33064","(26.2677529, -80.103314)"
"7410 Spring Tree Dr Springfield, VA 22153","(38.757095, -77.218063)"
"10 Bacon Slip Milford, MA 1757","(42.1349576, -71.52605150000001)"
"142 Grove Avenue Albany, NY 12208","(42.6486096, -73.7874293)"
"7815 Sw 102Nd Lane Miami, FL 33156","(25.675278, -80.321601)"
"1904 Sweetbriar Lane Jacksonville, FL 32217","(30.2554912, -81.6414585)"
"1101 Hawthorne Lane #149 Charlotte, NC 28205","(35.2247602, -80.81837139999999)"
"9630 Acadian Dr San Antonio, TX 78245","(29.3916177, -98.6767982)"
"6310 Nectar Grove Ct Katy, TX 77493","(29.8040826, -95.832556)"
"1379 Ralph Bell Rd Summerton, SC 29148","(33.5130279, -80.3080573)"
"344 Strotz Rd. Asbury, NJ 8802","(40.6506568, -74.9908514)"
"49 Forest Blvd Ardsley, NY 10502","(41.0274225, -73.83926439999999)"
"151 Ne 5Th Ave Delray Beach, FL 33483","(26.4644487, -80.0677674)"
"267 Grand Ridge Rd Saint Charles, IL 60175","(41.91103, -88.35385199999999)"
"262 S 2Nd St Lebanon, PA 17042","(40.335747, -76.41371699999999)"
"2158 East Electra Lane Phoenix, AZ 85024","(33.6992169, -112.0363425)"
"3661 Mt. Diablo Blvd Apt. 10 Lafayette, CA 94549","(37.89027189999999, -122.1280623)"
"2972 Rt 16 N Olean, NY 14760","(42.128884, -78.409539)"
"3600 Sw 29Th Terrace St Topeka, KS 66614","(39.014247, -95.72202279999999)"
"4002 Huey Street Houston, TX 77087","(29.7042955, -95.3106997)"
"32905 Summers St Livonia, MI 48154","(42.3850967, -83.36840000000001)"
"30 Hillcrest Dr Sparta, TN 38583","(35.9221523, -85.4532108)"
"68 Jensen St Manchester, CT 6042","(41.785158, -72.50438199999999)"
"6695 Shawnee Road Milford, DE 19963","(38.8960348, -75.4459207)"
"700 Al Piano Irving, TX 75060","(32.7902141, -96.9378758)"
"193 E Louis Pl Iselin, NJ 8830","(40.5819136, -74.3290304)"
"305 Waldorf Pkwy Syracuse, NY 13224","(43.0245734, -76.10759949999999)"
"8336 S Paulina St Chicago, IL 60620","(41.74190129999999, -87.66595389999999)"
"1067 Proctor Road Williamsport, PA 17701","(41.4033818, -76.8096164)"
"18107 121St Ave Sw Vashon, WA 98070","(47.4429587, -122.4899519)"
"12 Ingalls St Middletown, NY 10940","(41.434836, -74.42625079999999)"
"516 Ne 70Th St. Seattle, WA 98115","(47.6796774, -122.3221036)"
"705 2Nd Ave Ste 910 Seattle, WA 98104","(47.603033, -122.33364)"
"2953 White Pine Dr Schertz, TX 78154","(29.5885869, -98.2603346)"
"2110 Wallapai Dr Lake Havasu City, AZ 86403","(34.486988, -114.3320307)"
"1116 Northview Drive Jefferson City, MO 65109","(38.571097, -92.293082)"
"3600 Oakwood Rd Charlotte, NC 28269","(35.2936362, -80.833389)"
"499 Redwood Forest Dr Manchester, MO 63021","(38.5847678, -90.4910718)"
"590 E. Boundary Rd. Woodville, WI 54028","(44.954982, -92.277095)"
"645 Mi Tierra Ln Santa Maria, CA 93455","(34.872992, -120.428533)"
"9900 Sw 22Nd St Miami, FL 33165","(25.7486967, -80.355925)"
"51 Rutland Rd. Troy, ME 4987","(44.6945476, -69.2548912)"
"153 Cedar Lane Arden, NC 28704","(35.4719136, -82.5153492)"
"65 West 73Rd Street New York, NY 10023","(40.7781586, -73.97788349999999)"
"600 8Th Ave Toms River, NJ 8757","(39.9976052, -74.2711405)"
"1830 R St Nw Washington, DC 20009","(38.912446, -77.043218)"
"1391 Harrington Dr Gallatin, TN 37066","(36.3619569, -86.4901584)"
"1621 Killdeer Ct Sheboygan Falls, WI 53085","(43.7268327, -87.8569129)"
"13430 W Keim Dr Litchfield Park, AZ 85340","(33.5251787, -112.3483296)"
"1805 John Cir Gilbert, SC 29054","(34.0538389, -81.35882550000001)"
"2313 S Bon View Ave Ontario, CA 91761","(34.0317193, -117.6369065)"
"718 Long Bridge St San Francisco, CA 94158","(37.7714719, -122.3945432)"
"7572 Imperial Dr N Minneapolis, MN 55443","(45.0927263, -93.3498169)"
"1352 Thompson Ave Gloucester City, NJ 8030","(39.8797573, -75.10762799999999)"
"650 30Th Street Dr Se Cedar Rapids, IA 52403","(42.0075097, -91.62142159999999)"
"1242 Andalusia Dr Sacramento, CA 95833","(38.621093, -121.489322)"
"1001 W Bonbright St Carlsbad, NM 88220","(32.4260961, -104.2382089)"
"1162 Midnight Pl Yorkville, IL 60560","(41.67120120000001, -88.4234099)"
"320 N 7Th St San Jose, CA 95112","(37.3442416, -121.8876346)"
"425 Nottingham Ct Saginaw, TX 76179","(32.8641171, -97.3860783)"
"133 Ne 2Nd Ave Miami, FL 33132","(25.776087, -80.190141)"
"1927 Gerrard Avenue Speedway, IN 46224","(39.7925202, -86.24921049999999)"
"2506 W Jefferson Blvd Los Angeles, CA 90018","(34.0253497, -118.3227772)"
"29-22 Northern Blvd Apt 407 New York, NY 11101","(40.7490714, -73.93618959999999)"
"7930 Grove Street Westminster, CO 80030","(39.8404454, -105.0272728)"
"4515 Brewster Ave Louisville, KY 40211","(38.2487779, -85.8281858)"
"810 Kenilworth Ave Pontiac, MI 48340","(42.6605154, -83.2643784)"
"285 E Del Amo Blvd Long Beach, CA 90805","(33.8468421, -118.1898599)"
"1630 Old Topanga Canyon Road Topanga, CA 90290","(34.1116278, -118.6311965)"
"18547 Westbrook Dr Livonia, MI 48152","(42.4216396, -83.4024523)"
"7601 9Th Ave N Saint Petersburg, FL 33710","(27.781172, -82.743343)"
"3809 Coronet Ln Arlington, TX 76017","(32.6654444, -97.1679216)"
"6433 211Th Street Oakland Gardens, NY 11364","(40.743878, -73.7645019)"
"2409 Lawrence Dr Raleigh, NC 27603","(35.7524953, -78.6746888)"
"1630 Golf Overlook Stone Mountain, GA 30088","(33.7440719, -84.185938)"
"17537 Cypress Ave Country Club Hills, IL 60478","(41.5704258, -87.71599169999999)"
"56-419 Kamehameha Hwy Hm 335 Kahuku, HI 96731","(21.6736187, -157.9427096)"
"25 Merino Court Owings Mills, MD 21117","(39.45534809999999, -76.79642849999999)"
"720 Ne Flagstone Lane Bremerton, WA 98310","(47.60282979999999, -122.6368259)"
"304 Scott St Wilkes Barre, PA 18702","(41.2476221, -75.8632719)"
"13230 N Jennings Rd Clio, MI 48420","(43.1983351, -83.7539721)"
"15308 Torcross Way Upper Marlboro, MD 20774","(38.857277, -76.7404445)"
"6937 Blue Spruce St Brownsville, TX 78526","(26.006403, -97.52550699999999)"
"11714 W Laurel Ln El Mirage, AZ 85335","(33.5927041, -112.3132573)"
"37653 49Th Ave S Auburn, WA 98001","(47.262876, -122.2741008)"
"924 Seneca Falls Dr Orlando, FL 32828","(28.5478983, -81.1694742)"
"6804 Ne 79Th Court Ste 532071 Portland, OR 97218","(45.5725928, -122.5807146)"
"37 Harvest Rd Chichester, NH 3258","(43.25315459999999, -71.4300808)"
"129 Scotland Yard Blvd Saint Johns, FL 32259","(30.0872715, -81.59855999999999)"
"94-586 Awamoi St Waipahu, HI 96797","(21.3874929, -158.0133541)"
"3753 N Jot Dr Clarksville, TN 37040","(36.6288874, -87.2994192)"
"412 Boundbrook Dr Mebane, NC 27302","(36.0879818, -79.190662)"
"1109 Nw 3Rd St Okeechobee, FL 34972","(27.2455362, -80.8437794)"
"96 Mountain View Ln Elma, WA 98541","(46.954425, -123.36541)"
"1511 County Road 134 Floresville, TX 78114","(29.04708399999999, -98.21226500000002)"
"149 Claremont Ave. Montclair, NJ 7042","(40.8153477, -74.2121776)"
"2018 142Nd Pl Sw Lynnwood, WA 98087","(47.869136, -122.2613998)"
"6147 Charlotte Place Palmdale, CA 93552","(34.5686736, -118.0187231)"
"2324 N Ontario St Burbank, CA 91504","(34.1947461, -118.3441174)"
"11711 Gwynne Ave Norwalk, CA 90650","(33.9248045, -118.0774945)"
"9667 Canyon Landing Ave Las Vegas, NV 89166","(36.3070166, -115.3077106)"
"2701 W Tichenor St Compton, CA 90220","(33.8834778, -118.2563397)"
"12716 Foothill Blvd Sylmar, CA 91342","(34.2903757, -118.4122712)"
"1034 Legacy Walk Woodstock, GA 30189","(34.1053318, -84.5562264)"
"249 Teakwood Ln Lewisville, TX 75067","(33.0127107, -96.99716289999999)"
"2935 Union Rd Paso Robles, CA 93446","(35.643465, -120.653643)"
"642 Athena Pl Santa Rosa, CA 95407","(38.4053454, -122.7105932)"
"10750 Westwood Lake Dr Miami, FL 33165","(25.7161099, -80.3683661)"
"342 State Route 122 Constable, NY 12926","(44.93771700000001, -74.37552)"
"122 Red Oak Dr Seville, OH 44273","(41.0156337, -81.8586444)"
"1527 W Spring Creek Pkwy Plano, TX 75023","(33.056452, -96.72220209999999)"
"1806 E 1St St Greenville, NC 27858","(35.6089793, -77.356566)"
"608 Valley Plum Ave El Paso, TX 79932","(31.857296, -106.6094443)"
"860 Lexington Dr Salinas, CA 93906","(36.7035885, -121.6199978)"
"116 Coutant Rd Circleville, NY 10919","(41.530915, -74.38234899999999)"
"29655 Sw 166Th Ct Homestead, FL 33033","(25.4911589, -80.4602688)"
"783 Scenic Road #4 Laconia, NH 3247","(43.6190225, -71.4744473)"
"3973 Kimberly Jo Dr Rocky Mount, NC 27804","(35.9882397, -77.8923046)"
"1409 W Yucca Ave Artesia, NM 88210","(32.8465074, -104.4147253)"
"19503 Crystal Ridge Lane Porter Ranch, CA 91326","(34.294357, -118.558796)"
"2112 N Brazosport Blvd Richwood, TX 77531","(29.0676268, -95.4089882)"
"250 Leah Ln Duncan, AZ 85534","(32.7529982, -109.0902823)"
"206 County Road 458 Hondo, TX 78861","(29.3548695, -99.0117138)"
"4141 189Th St Country Club Hills, IL 60478","(41.5457168, -87.71683829999999)"
"4108 Arroyo Trl Fort Worth, TX 76135","(32.816495, -97.431213)"
"117 Covey Rise Circle Clarksville, TN 37043","(36.5655879, -87.2281446)"
"3900 Harrison Street Oakland, CA 94611","(37.8213987, -122.2501674)"
"66 Simpson Drive Daly City, CA 94015","(37.6594638, -122.4699658)"
"9 Benson Rd Wassaic, NY 12592","(41.796386, -73.5513838)"
"620 Sunset Ave Haworth, NJ 7641","(40.9565837, -74.0031348)"
"2095 Blackberry Circle Auburn, GA 30011","(34.0330466, -83.8570148)"
"3120 Division St Enumclaw, WA 98022","(47.2122648, -121.9953081)"
"5133 Janie Dr Pittsburgh, PA 15227","(40.3543109, -79.9674208)"
"1 Winding Way Fort Thomas, KY 41075","(39.093239, -84.45756840000001)"
"3543 S Lombard Ave Cicero, IL 60804","(41.8272723, -87.77764959999999)"
"10362 Sw 212Th St Cutler Bay, FL 33189","(25.568476, -80.359259)"
"13512 Ne 23Rd Pl North Miami, FL 33181","(25.900633, -80.153761)"
"740 Seminole Way Palo Alto, CA 94303","(37.4202651, -122.1066221)"
"7373 E Us Hwy 60 Lot 381 Gold Canyon, AZ 85118","(33.3549954, -111.4645051)"
"1333 N Neptune Ave Wilmington, CA 90744","(33.7897555, -118.2698153)"
"105 Roswell Ct Ne Atlanta, GA 30305","(33.848763, -84.381344)"
"1371 Franklin Ave Bronx, NY 10456","(40.833392, -73.901262)"
"2032 Chatwin Ave. Long Beach, CA 90815","(33.7925941, -118.1230803)"
"2940 Courtland Dr Dallas, TX 75287","(32.9934524, -96.8638525)"
"2108 Dolphin Blvd. S Saint Petersburg, FL 33707","(27.7485791, -82.7275279)"
"14396 Deerfield Dr Se Monroe, WA 98272","(47.866755, -121.9610529)"
"109 Bradley Ct Tonganoxie, KS 66086","(39.1146705, -95.0635489)"
"11 Woodview Dr Brookfield, CT 6804","(41.4625405, -73.4190915)"
"79 Nw 34Th Ter Miami, FL 33127","(25.809195, -80.1969193)"
"32 Hillside Ave Tenafly, NJ 7670","(40.9237466, -73.9626394)"
"2521 Shropshire Pl Mcdonough, GA 30253","(33.4509594, -84.18515529999999)"
"117 Rolling Hills Ave Se Salem, OR 97306","(44.8745761, -123.0604342)"
"6922 Bluffgrove Cir Indianapolis, IN 46278","(39.8795918, -86.27977369999999)"
"2318 East Cromwell Avenue Fresno, CA 93720","(36.8475847, -119.741767)"
"926 Valley View Dr Traverse City, MI 49685","(44.6727994, -85.6535821)"
"4079 42Nd Sq Vero Beach, FL 32967","(27.6710568, -80.4274906)"
"28 Pine Acre Rd Springfield, MA 1129","(42.1166707, -72.4813114)"
"852 Overlook Glen Drive Lawrenceville, GA 30045","(33.941197, -83.93612499999999)"
"1602 Chickees St Johnson City, TN 37604","(36.292021, -82.38081900000002)"
"15 Karen St Spotswood, NJ 8884","(40.4066905, -74.3818622)"
"705 W 1St St Grimes, IA 50111","(41.68868370000001, -93.8010923)"
"1575 Tremont St Boston, MA 2120","(42.3335081, -71.10182)"
"10008 Mariner Dr Nw Olympia, WA 98502","(47.175793, -122.93057)"
"2001 Old Laurens Rd Greenwood, SC 29649","(34.231175, -82.14093)"
"3121 Palominos Pass Cedar Park, TX 78641","(30.5527284, -97.7871148)"
"1035 Newbridge St East Palo Alto, CA 94303","(37.4716668, -122.150145)"
"4318 Munger Ave. Dallas, TX 75204","(32.8030806, -96.78305379999999)"
"475 Zarling Ave Oshkosh, WI 54901","(44.0723028, -88.54541619999999)"
"4804 Boothbay Way Fort Worth, TX 76179","(32.8551318, -97.3946708)"
"53 Oliver Street North Providence, RI 2904","(41.8660681, -71.4197552)"
"8689 Fordham Ct Cincinnati, OH 45255","(39.0787703, -84.31280459999999)"
"75 N Main St Fairchance, PA 15436","(39.8230112, -79.74758899999999)"
"1039 Ferrari Drive Coal City, IL 60416","(41.2746714, -88.2897911)"
"6816 Jackrabbit Ct Waldorf, MD 20603","(38.626844, -76.9577929)"
"238 Township Road 1031 South Point, OH 45680","(38.408166, -82.53849)"
"4415 Lincoln Ln Nw Rochester, MN 55901","(44.069635, -92.51203790000001)"
"14001 Three Rivers Rd Gulfport, MS 39503","(30.48677139999999, -89.0551677)"
"12415 Lakeland Drive Walker, LA 70785","(30.4735123, -90.8835659)"
"26 Patmar Dr Monroe, CT 6468","(41.3081612, -73.2638892)"
"319 S 5Th St Elizabeth, NJ 7206","(40.65199800000001, -74.20408499999999)"
"7950 Etiwanda Avenue Rancho Cucamonga, CA 91739","(34.1086328, -117.5267497)"
"4331 Mammoth Ave Sherman Oaks, CA 91423","(34.1492739, -118.4328704)"
"33033 Weiss Rd Walker, LA 70785","(30.5804227, -90.76533599999999)"
"2001 Walnut Ave Venice, CA 90291","(34.0003207, -118.4542088)"
"73 Country Club Acres Belleville, IL 62223","(38.5505628, -90.0449477)"
"9714 Haskell Ave North Hills, CA 91343","(34.2469286, -118.4759263)"
"2181 Barnes Avenue Bronx, NY 10462","(40.855733, -73.8640599)"
"363 Sackett Street Brooklyn, NY 11231","(40.6822531, -73.99313409999999)"
